date,cumDeath,new_cases
2020-02-25,0,1.0
2020-02-26,0,0.0
2020-02-27,0,7.0
2020-02-28,0,0.0
2020-02-29,0,10.0
2020-03-01,0,9.0
2020-03-02,0,15.0
2020-03-03,0,14.0
2020-03-04,0,34.0
2020-03-05,0,24.0
2020-03-06,1,100.0
2020-03-07,1,54.0
2020-03-08,2,69.0
2020-03-09,2,37.0
2020-03-10,5,117.0
2020-03-11,7,161.0
2020-03-12,10,0.0
2020-03-13,11,487.0
2020-03-14,14,220.0
2020-03-15,22,841.0
2020-03-16,33,0.0
2020-03-17,40,500.0
2020-03-18,48,328.0
2020-03-19,58,1047.0
2020-03-20,78,1219.0
2020-03-21,98,1281.0
2020-03-22,113,899.0
2020-03-23,141,1321.0
2020-03-24,161,1082.0
2020-03-25,196,1020.0
2020-03-26,238,914.0
2020-03-27,273,1117.0
2020-03-28,329,1148.0
2020-03-29,376,753.0
2020-03-30,434,1093.0
2020-03-31,485,683.0
2020-04-01,546,1163.0
2020-04-02,605,1059.0
2020-04-03,660,779.0
2020-04-04,719,899.0
2020-04-05,771,595.0
2020-04-06,823,557.0
2020-04-07,882,596.0
2020-04-08,946,1027.0
2020-04-09,991,771.0
2020-04-10,1046,500.0
2020-04-11,1087,556.0
2020-04-12,1141,308.0
2020-04-13,1173,273.0
2020-04-14,1209,248.0
2020-04-15,1256,400.0
2020-04-16,1298,396.0
2020-04-17,1330,346.0
2020-04-18,1366,326.0
2020-04-19,1391,336.0
2020-04-20,1432,204.0
2020-04-21,1469,119.0
2020-04-22,1497,205.0
2020-04-23,1531,228.0
2020-04-24,1554,181.0
2020-04-25,1581,217.0
2020-04-26,1594,167.0
2020-04-27,1614,103.0
2020-04-28,1637,100.0
2020-04-29,1649,143.0
2020-04-30,1665,179.0
2020-05-01,1679,119.0
2020-05-02,1688,112.0
2020-05-03,1695,88.0
2020-05-04,1702,76.0
2020-05-05,1714,28.0
2020-05-06,1719,51.0
2020-05-07,1730,66.0
2020-05-08,1738,81.0
2020-05-09,1745,44.0
2020-05-10,1754,54.0
2020-05-11,1757,39.0
2020-05-12,1758,36.0
2020-05-13,1761,33.0
2020-05-14,1763,50.0
2020-05-15,1767,51.0
2020-05-16,1768,58.0
2020-05-17,1772,15.0
2020-05-18,1778,10.0
2020-05-19,1781,21.0
2020-05-20,1781,40.0
2020-05-21,1786,36.0
2020-05-22,1788,13.0
2020-05-23,1789,18.0
2020-05-24,1790,11.0
2020-05-25,1793,10.0
2020-05-26,1795,15.0
2020-05-27,1796,15.0
2020-05-28,1796,20.0
2020-05-29,1796,32.0
2020-05-30,1796,17.0
2020-05-31,1796,17.0
2020-06-01,1796,9.0
2020-06-02,1796,3.0
2020-06-03,1796,19.0
2020-06-04,1796,20.0
2020-06-05,1796,23.0
2020-06-06,1796,20.0
2020-06-07,1798,9.0
2020-06-08,1799,7.0
2020-06-09,1799,16.0
2020-06-10,1800,23.0
2020-06-11,1800,33.0
2020-06-12,1802,19.0
2020-06-13,1802,31.0
2020-06-14,1802,23.0
2020-06-15,1802,14.0
2020-06-16,1803,23.0
2020-06-17,1805,33.0
2020-06-18,1805,13.0
2020-06-19,1805,35.0
2020-06-20,1805,8.0
2020-06-21,1806,49.0
2020-06-22,1808,18.0
2020-06-23,1808,22.0
2020-06-24,1808,44.0
2020-06-25,1808,52.0
2020-06-26,1808,58.0
2020-06-27,1808,69.0
2020-06-28,1808,62.0
2020-06-29,1809,35.0
2020-06-30,1809,62.0
2020-07-01,1810,137.0
2020-07-02,1810,116.0
2020-07-03,1810,134.0
2020-07-04,1810,97.0
2020-07-05,1810,70.0
2020-07-06,1811,47.0
2020-07-07,1811,54.0
2020-07-08,1813,129.0
2020-07-09,1813,88.0
2020-07-10,1813,104.0
2020-07-11,1813,127.0
2020-07-12,1813,66.0
2020-07-13,1813,63.0
2020-07-14,1813,70.0
2020-07-15,1814,132.0
2020-07-16,1815,142.0
2020-07-17,1815,92.0
2020-07-18,1815,110.0
2020-07-19,1815,99.0
2020-07-20,1818,43.0
2020-07-21,1819,108.0
2020-07-22,1819,141.0
2020-07-23,1821,117.0
2020-07-24,1822,154.0
2020-07-25,1822,148.0
2020-07-26,1823,110.0
2020-07-27,1824,65.0
2020-07-28,1825,132.0
2020-07-29,1825,193.0
2020-07-30,1825,220.0
2020-07-31,1827,210.0
2020-08-01,1828,180.0
2020-08-02,1828,138.0
2020-08-03,1828,66.0
2020-08-04,1829,130.0
2020-08-05,1830,181.0
2020-08-06,1831,181.0
2020-08-07,1832,161.0
2020-08-08,1833,182.0
2020-08-09,1833,152.0
2020-08-10,1834,105.0
2020-08-11,1835,187.0
2020-08-12,1835,274.0
2020-08-13,1836,234.0
2020-08-14,1836,268.0
2020-08-15,1838,253.0
2020-08-16,1838,200.0
2020-08-17,1840,128.0
2020-08-18,1840,197.0
2020-08-19,1840,311.0
2020-08-20,1840,266.0
2020-08-21,1841,306.0
2020-08-22,1842,295.0
2020-08-23,1843,276.0
2020-08-24,1844,157.0
2020-08-25,1844,202.0
2020-08-26,1844,383.0
2020-08-27,1845,361.0
2020-08-28,1845,340.0
2020-08-29,1846,376.0
2020-08-30,1847,292.0
2020-08-31,1848,163.0
2020-09-01,1848,216.0
2020-09-02,1851,370.0
2020-09-03,1851,364.0
2020-09-04,1852,405.0
2020-09-05,1853,425.0
2020-09-06,1857,444.0
2020-09-07,1857,191.0
2020-09-08,1859,245.0
2020-09-09,1862,469.0
2020-09-10,1862,405.0
2020-09-11,1866,528.0
2020-09-12,1870,465.0
2020-09-13,1870,475.0
2020-09-14,1870,257.0
2020-09-15,1871,315.0
2020-09-16,1878,514.0
2020-09-17,1883,530.0
2020-09-18,1886,488.0
2020-09-19,1890,0.0
2020-09-20,1890,0.0
2020-09-21,1893,1095.0
2020-09-22,1894,286.0
2020-09-23,1897,437.0
2020-09-24,1901,391.0
2020-09-25,1902,372.0
2020-09-26,1903,0.0
2020-09-27,1904,0.0
2020-09-28,1908,782.0
2020-09-29,1908,225.0
2020-09-30,1908,411.0
2020-10-01,1912,550.0
2020-10-02,1913,552.0
2020-10-03,1913,0.0
2020-10-04,1914,0.0
2020-10-05,1916,1548.0
2020-10-06,1918,700.0
2020-10-07,1919,1077.0
2020-10-08,1923,1172.0
2020-10-09,1925,1487.0
2020-10-10,1927,0.0
2020-10-11,1930,0.0
2020-10-12,1936,4068.0
2020-10-13,1944,1445.0
2020-10-14,1950,2823.0
2020-10-15,1956,2613.0
2020-10-16,1966,3105.0
2020-10-17,1973,0.0
2020-10-18,1981,0.0
2020-10-19,1993,8737.0
2020-10-20,2007,3008.0
2020-10-21,2023,5596.0
2020-10-22,2044,5256.0
2020-10-23,2066,6634.0
2020-10-24,2096,0.0
2020-10-25,2121,0.0
2020-10-26,2143,17440.0
2020-10-27,2179,5949.0
2020-10-28,2220,8616.0
2020-10-29,2280,9386.0
2020-10-30,2324,9207.0
2020-10-31,2378,0.0
2020-11-01,2437,0.0
2020-11-02,2504,21926.0
2020-11-03,2582,6126.0
2020-11-04,2670,10073.0
2020-11-05,2755,10128.0
2020-11-06,2839,9409.0
2020-11-07,2908,0.0
2020-11-08,2994,0.0
2020-11-09,3100,17309.0
2020-11-10,3196,5980.0
2020-11-11,3295,8270.0
2020-11-12,3392,6924.0
2020-11-13,3482,6739.0
2020-11-14,3567,0.0
2020-11-15,3658,0.0
2020-11-16,3769,12839.0
2020-11-17,3870,4560.0
2020-11-18,3967,6114.0
2020-11-19,4070,5007.0
2020-11-20,4158,4946.0
2020-11-21,4235,0.0
2020-11-22,4321,0.0
2020-11-23,4423,9751.0
2020-11-24,4517,4241.0
2020-11-25,4611,4876.0
2020-11-26,4704,4509.0
2020-11-27,4779,4312.0
2020-11-28,4857,0.0
2020-11-29,4946,0.0
2020-11-30,5053,8782.0
2020-12-01,5160,3802.0
2020-12-02,5245,4786.0
2020-12-03,5341,4455.0
2020-12-04,5418,4382.0
2020-12-05,5494,0.0
2020-12-06,5584,0.0
2020-12-07,5683,9809.0
2020-12-08,5780,4262.0
2020-12-09,5882,5086.0
2020-12-10,5970,5041.0
2020-12-11,6058,5136.0
2020-12-12,6137,0.0
2020-12-13,6235,0.0
2020-12-14,6345,10726.0
2020-12-15,6439,4271.0
2020-12-16,6560,5625.0
2020-12-17,6654,5058.0
2020-12-18,6736,4478.0
2020-12-19,6803,0.0
2020-12-20,6912,0.0
2020-12-21,7010,10002.0
2020-12-22,7110,4275.0
2020-12-23,7203,5033.0
2020-12-24,7287,4898.0
2020-12-25,7352,0.0
2020-12-26,7432,0.0
2020-12-27,7536,0.0
2020-12-28,7609,10087.0
2020-12-29,7703,4197.0
2020-12-30,7796,5424.0
2020-12-31,7873,4391.0
2021-01-01,7948,0.0
2021-01-02,8009,0.0
2021-01-03,8085,0.0
2021-01-04,8153,9665.0
2021-01-05,8221,4020.0
2021-01-06,8287,4808.0
2021-01-07,8353,3975.0
2021-01-08,8395,3219.0
2021-01-09,8459,0.0
2021-01-10,8524,0.0
2021-01-11,8587,6523.0
2021-01-12,8646,2851.0
2021-01-13,8709,3001.0
2021-01-14,8758,2474.0
2021-01-15,8831,2396.0
2021-01-16,8871,0.0
2021-01-17,8920,0.0
2021-01-18,8972,4703.0
2021-01-19,9038,2260.0
2021-01-20,9078,2727.0
2021-01-21,9128,2205.0
2021-01-22,9177,2156.0
2021-01-23,9224,0.0
2021-01-24,9272,0.0
2021-01-25,9309,4320.0
2021-01-26,9355,1884.0
2021-01-27,9392,2222.0
2021-01-28,9439,1699.0
2021-01-29,9480,1916.0
2021-01-30,9487,0.0
2021-01-31,9523,0.0
2021-02-01,9558,3775.0
2021-02-02,9584,1633.0
2021-02-03,9605,1796.0
2021-02-04,9635,1765.0
2021-02-05,9658,1584.0
2021-02-06,9688,0.0
2021-02-07,9716,0.0
2021-02-08,9629,3280.0
2021-02-09,9760,1363.0
2021-02-10,9785,1602.0
2021-02-11,9799,1356.0
2021-02-12,9815,1253.0
2021-02-13,9835,0.0
2021-02-14,9853,0.0
2021-02-15,9872,2480.0
2021-02-16,9881,1075.0
2021-02-17,9903,1253.0
2021-02-18,9913,1219.0
2021-02-19,9925,1021.0
2021-02-20,9935,0.0
2021-02-21,9946,0.0
2021-02-22,9958,2449.0
2021-02-23,9969,1131.0
2021-02-24,9980,1343.0
2021-02-25,9994,1169.0
2021-02-26,10002,1065.0
2021-02-27,10009,0.0
2021-02-28,10016,0.0
2021-03-01,10027,2560.0
2021-03-02,10035,1130.0
2021-03-03,10043,1223.0
2021-03-04,10049,1223.0
2021-03-05,10059,1222.0
2021-03-06,10067,0.0
2021-03-07,10074,0.0
2021-03-08,10083,2744.0
2021-03-09,10093,1378.0
2021-03-10,10105,1491.0
2021-03-11,10113,1409.0
2021-03-12,10120,1333.0
2021-03-13,10132,0.0
2021-03-14,10143,0.0
2021-03-15,10152,3170.0
2021-03-16,10164,1438.0
2021-03-17,10175,1858.0
2021-03-18,10181,1750.0
2021-03-19,10189,1748.0
2021-03-20,10195,0.0
2021-03-21,10202,0.0
2021-03-22,10207,3643.0
2021-03-23,10219,1844.0
2021-03-24,10229,2022.0
2021-03-25,10241,2046.0
2021-03-26,10245,2053.0
2021-03-27,10255,0.0
2021-03-28,10264,0.0
2021-03-29,10271,4573.0
2021-03-30,10285,1923.0
2021-03-31,10297,2411.0
2021-04-01,10308,1968.0
2021-04-02,10313,2250.0
2021-04-03,10323,0.0
2021-04-04,10331,0.0
2021-04-05,10351,0.0
2021-04-06,10365,4932.0
2021-04-07,10378,2301.0
2021-04-08,10383,2449.0
2021-04-09,10388,2519.0
2021-04-10,10392,0.0
2021-04-11,10401,0.0
2021-04-12,10406,5583.0
2021-04-13,10412,2241.0
2021-04-14,10422,2601.0
2021-04-15,10425,2226.0
2021-04-16,10431,2205.0
2021-04-17,10441,0.0
2021-04-18,10446,0.0
2021-04-19,10458,4905.0
2021-04-20,10465,2141.0
2021-04-21,10472,2686.0
2021-04-22,10476,2265.0
2021-04-23,10490,2113.0
2021-04-24,10495,0.0
2021-04-25,10504,0.0
2021-04-26,10513,5313.0
2021-04-27,10529,2135.0
2021-04-28,10537,2120.0
2021-04-29,10544,2066.0
2021-04-30,10555,1831.0
2021-05-01,10565,0.0
2021-05-02,10571,0.0
2021-05-03,10578,3978.0
2021-05-04,10582,1633.0
2021-05-05,10593,1795.0
2021-05-06,10598,1687.0
2021-05-07,10608,1546.0
2021-05-08,10612,0.0
2021-05-09,10618,0.0
2021-05-10,10621,3683.0
2021-05-11,10625,1375.0
2021-05-12,10628,1539.0
2021-05-13,10632,0.0
2021-05-14,10637,2300.0
2021-05-15,10639,0.0
2021-05-16,10647,0.0
2021-05-17,10650,2650.0
2021-05-18,10654,1240.0
2021-05-19,10660,1554.0
2021-05-20,10663,1198.0
2021-05-21,10671,0.0
2021-05-22,10681,1201.0
2021-05-23,10684,0.0
2021-05-24,10688,0.0
2021-05-25,10692,2770.0
2021-05-26,10693,996.0
2021-05-27,10700,992.0
2021-05-28,10705,912.0
2021-05-29,10710,0.0
2021-05-30,10710,0.0
2021-05-31,10712,1717.0
2021-06-01,10712,756.0
2021-06-02,10715,717.0
2021-06-03,10721,588.0
2021-06-04,10726,491.0
2021-06-05,10728,0.0
2021-06-06,10732,0.0
2021-06-07,10734,1077.0
2021-06-08,10738,429.0
2021-06-09,10741,0.0
2021-06-10,10745,899.0
2021-06-11,10747,354.0
2021-06-12,10748,0.0
2021-06-13,10749,0.0
2021-06-14,10749,684.0
2021-06-15,10752,243.0
2021-06-16,10757,282.0
2021-06-17,10759,194.0
2021-06-18,10761,173.0
2021-06-19,10762,0.0
2021-06-20,10764,0.0
2021-06-21,10764,367.0
2021-06-22,10765,130.0
2021-06-23,10766,154.0
2021-06-24,10769,120.0
2021-06-25,10771,109.0
2021-06-26,10771,0.0
2021-06-27,10773,0.0
2021-06-28,10773,239.0
2021-06-29,10775,129.0
2021-06-30,10773,129.0
2021-07-01,10773,172.0
2021-07-02,10773,158.0
2021-07-03,10773,0.0
2021-07-04,10774,0.0
2021-07-05,10774,449.0
2021-07-06,10774,274.0
2021-07-07,10774,295.0
2021-07-08,10774,268.0
2021-07-09,10774,323.0
2021-07-10,10774,0.0
2021-07-11,10776,0.0
2021-07-12,10776,822.0
2021-07-13,10777,483.0
2021-07-14,10777,527.0
2021-07-15,10777,582.0
2021-07-16,10777,0.0
2021-07-17,10778,619.0
2021-07-18,10778,0.0
2021-07-19,10778,1560.0
2021-07-20,10778,707.0
2021-07-21,10780,773.0
2021-07-22,10780,861.0
2021-07-23,10780,791.0
2021-07-24,10781,0.0
2021-07-25,10782,0.0
2021-07-26,10784,1746.0
2021-07-27,10787,853.0
2021-07-28,10791,771.0
2021-07-29,10793,827.0
2021-07-30,10793,800.0
2021-07-31,10793,0.0
2021-08-01,10794,0.0
2021-08-02,10794,2019.0
2021-08-03,10796,1059.0
2021-08-04,10796,1033.0
2021-08-05,10796,1025.0
2021-08-06,10797,1167.0
2021-08-07,10797,0.0
2021-08-08,10798,0.0
2021-08-09,10800,3145.0
2021-08-10,10802,1911.0
2021-08-11,10805,2124.0
2021-08-12,10807,2127.0
2021-08-13,10808,2100.0
2021-08-14,10810,0.0
2021-08-15,10813,0.0
2021-08-16,10817,5579.0
2021-08-17,10819,3152.0
2021-08-18,10821,3290.0
